Date           ,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
09-07-2024,11.11.00 AM,CNR9975925287,Success,CID162055,Prime SUV,Magadi Road,RT Nagar,42,30,NA,NA,No,NA,343,UPI,17,3,3.8
12-07-2024,2.44.00 PM,CNR1591113431,Success,CID902781,eBike,Koramangala,Sarjapur Road,245,70,NA,NA,No,NA,2014,Cash,33,4.2,4.9
11-07-2024,8.42.00 PM,CNR3650331573,Success,CID217093,eBike,Basavanagudi,Hulimavu,84,25,NA,NA,No,NA,650,Cash,34,4.9,3.4
08-07-2024,10.33.00 PM,CNR6013805089,Success,CID817034,Prime Sedan,Padmanabhanagar,Jayanagar,168,65,NA,NA,No,NA,231,Cash,2,3.2,3.7
16-07-2024,10.17.00 AM,CNR4306636052,Canceled by Driver,CID103842,Prime SUV,Mysore Road,Vijayanagar,NA,NA,NA,Customer was coughing/sick,NA,NA,909,NA,0,0,0
03-07-2024,6.20.00 PM,CNR9832070187,Success,CID655872,Bike,Koramangala,BTM Layout,231,145,NA,NA,No,NA,189,Cash,6,4.9,3.3
03-07-2024,9.17.00 PM,CNR5620539253,Success,CID290480,Prime Plus,Mysore Road,Sahakar Nagar,56,105,NA,NA,No,NA,311,Cash,28,4.3,3
19-07-2024,9.18.00 PM,CNR4443921904,Success,CID654618,Mini,Tumkur Road,Koramangala,231,50,NA,NA,No,NA,286,UPI,44,4,3.3
25-07-2024,3.44.00 AM,CNR7194303296,Success,CID538245,Mini,Mysore Road,Hennur,175,50,NA,NA,No,NA,141,UPI,35,4.7,3.1
15-07-2024,5.11.00 PM,CNR6494005067,Success,CID805360,Auto,Yelahanka,Malleshwaram,84,60,NA,NA,No,NA,214,UPI,2,3.3,4.5
30-07-2024,7.44.00 PM,CNR6805579107,Success,CID810214,Prime SUV,Indiranagar,Indiranagar,35,145,NA,NA,No,NA,2183,Cash,20,4,4.4
21-07-2024,8.26.00 AM,CNR6003663433,Canceled by Customer,CID350426,Prime Plus,Rajajinagar,Chamarajpet,NA,NA,Driver asked to cancel,NA,NA,NA,604,NA,0,0,0
23-07-2024,7.04.00 AM,CNR2998177390,Driver Not Found,CID946041,Auto,RT Nagar,Yelahanka,NA,NA,NA,NA,NA,NA,802,NA,0,0,0
27-07-2024,6.18.00 AM,CNR7979458138,Success,CID978509,eBike,Frazer Town,Indiranagar,189,65,NA,NA,No,NA,1095,Cash,38,4.8,4.7
23-07-2024,10.17.00 AM,CNR7286474506,Canceled by Customer,CID500806,eBike,Jayanagar,Richmond Town,NA,NA,Driver is not moving towards pickup location,NA,NA,NA,120,NA,0,0,0
23-07-2024,12.56.00 PM,CNR9820692957,Success,CID625327,Prime Sedan,Koramangala,Hosur Road,49,85,NA,NA,No,NA,241,Cash,33,3.2,3.5
08-07-2024,11.52.00 AM,CNR4094067439,Success,CID896062,Prime Sedan,Majestic,Jayanagar,77,140,NA,NA,No,NA,475,Cash,45,4.3,3.1
14-07-2024,5.25.00 AM,CNR7142279862,Success,CID378034,eBike,Yeshwanthpur,JP Nagar,210,45,NA,NA,No,NA,461,UPI,49,4.5,3.1
23-07-2024,9.33.00 AM,CNR5488574120,Canceled by Driver,CID169284,Auto,Peenya,Hosur Road,NA,NA,NA,Customer related issue,NA,NA,783,NA,0,0,0
03-07-2024,4.16.00 PM,CNR8148468821,Canceled by Driver,CID347094,Prime Plus,Marathahalli,BTM Layout,NA,NA,NA,Customer was coughing/sick,NA,NA,995,NA,0,0,0
03-07-2024,12.58.00 AM,CNR5176704322,Success,CID296026,Prime Plus,KR Puram,Hennur,287,40,NA,NA,Yes,Customer Demand,1102,UPI,41,3.1,3.5
24-07-2024,5.31.00 PM,CNR9287248724,Canceled by Driver,CID959554,Prime SUV,Hosur Road,Yeshwanthpur,NA,NA,NA,Customer related issue,NA,NA,170,NA,0,0,0
10-07-2024,9.56.00 PM,CNR7547352327,Success,CID976231,Prime Plus,Hulimavu,Rajarajeshwari Nagar,210,105,NA,NA,No,NA,444,UPI,6,3.8,4.9
20-07-2024,3.30.00 PM,CNR9660405769,Canceled by Driver,CID483311,eBike,Electronic City,Varthur,NA,NA,NA,Customer related issue,NA,NA,1130,NA,0,0,0
11-07-2024,3.22.00 AM,CNR4251304471,Success,CID888740,Prime SUV,Shivajinagar,Jayanagar,294,145,NA,NA,No,NA,876,Cash,21,4.7,3.3
06-07-2024,3.02.00 PM,CNR1568684278,Success,CID709612,Prime Plus,Bannerghatta Road,Majestic,42,90,NA,NA,No,NA,680,UPI,24,4.7,3.8
05-07-2024,8.28.00 PM,CNR2230045814,Success,CID961125,Prime SUV,Cox Town,Chamarajpet,266,65,NA,NA,No,NA,425,Cash,11,3.5,4.6
11-07-2024,11.28.00 AM,CNR7871058089,Success,CID221021,Mini,Hennur,Kengeri,56,140,NA,NA,No,NA,989,Cash,4,4.5,4.2
16-07-2024,4.25.00 PM,CNR5503358927,Driver Not Found,CID552049,Bike,Peenya,MG Road,NA,NA,NA,NA,NA,NA,594,NA,0,0,0
12-07-2024,6.02.00 PM,CNR2708187615,Success,CID415325,Prime Plus,Devanahalli,Rajajinagar,294,95,NA,NA,No,NA,443,Cash,5,3.4,3.1
16-07-2024,10.35.00 PM,CNR1625119636,Success,CID745270,eBike,Ramamurthy Nagar,Sahakar Nagar,35,95,NA,NA,No,NA,721,Cash,19,3.8,4.7
26-07-2024,1.20.00 PM,CNR9312632867,Success,CID649563,Prime SUV,Tumkur Road,Mysore Road,217,120,NA,NA,Yes,Vehicle Breakdown,2936,Cash,34,4.1,4.6
25-07-2024,3.33.00 AM,CNR5274603340,Success,CID477783,Prime SUV,Electronic City,Banashankari,77,35,NA,NA,No,NA,747,Cash,25,5,3.5
17-07-2024,3.30.00 AM,CNR1050003752,Success,CID993137,Bike,Chamarajpet,Shivajinagar,308,110,NA,NA,No,NA,799,UPI,25,3.9,4.7
07-07-2024,5.59.00 AM,CNR3603517873,Success,CID386651,eBike,Rajarajeshwari Nagar,Marathahalli,63,135,NA,NA,No,NA,300,Cash,14,3.3,4.6
01-07-2024,2.21.00 AM,CNR1557960488,Driver Not Found,CID884386,Prime SUV,Rajarajeshwari Nagar,Varthur,NA,NA,NA,NA,NA,NA,162,NA,0,0,0
01-07-2024,2.45.00 AM,CNR9758857830,Success,CID528642,Prime Plus,HSR Layout,Magadi Road,308,70,NA,NA,No,NA,618,UPI,30,3.5,3.7
02-07-2024,4.17.00 AM,CNR8080410192,Success,CID416746,eBike,Jayanagar,JP Nagar,91,120,NA,NA,No,NA,251,UPI,9,5,4.4
13-07-2024,2.27.00 AM,CNR1648186942,Canceled by Driver,CID713303,Bike,Hennur,Padmanabhanagar,NA,NA,NA,More than permitted people in there,NA,NA,543,NA,0,0,0
25-07-2024,10.57.00 AM,CNR2433490646,Success,CID954071,Mini,Hennur,Chamarajpet,35,115,NA,NA,No,NA,724,Cash,11,4.5,4.8
18-07-2024,12.37.00 AM,CNR7825941026,Success,CID234007,Mini,Marathahalli,Langford Town,196,80,NA,NA,No,NA,316,UPI,27,3.1,4.7
22-07-2024,1.08.00 PM,CNR9148580255,Success,CID164393,Prime SUV,Tumkur Road,Magadi Road,224,60,NA,NA,No,NA,138,UPI,24,5,3
15-07-2024,7.21.00 AM,CNR2946309760,Success,CID984343,Prime Plus,Hosur Road,Hennur,280,55,NA,NA,No,NA,467,Cash,24,4.5,4.2
19-07-2024,10.29.00 AM,CNR3472489570,Driver Not Found,CID621402,Prime SUV,Electronic City,Marathahalli,NA,NA,NA,NA,NA,NA,565,NA,0,0,0
07-07-2024,4.56.00 PM,CNR1768885472,Canceled by Driver,CID130993,Prime SUV,Basavanagudi,Padmanabhanagar,NA,NA,NA,More than permitted people in there,NA,NA,276,NA,0,0,0
06-07-2024,1.18.00 AM,CNR7486448495,Success,CID931462,Auto,Ulsoor,Padmanabhanagar,63,65,NA,NA,No,NA,296,UPI,5,4,4.3
04-07-2024,3.32.00 PM,CNR2735636504,Driver Not Found,CID111173,Prime SUV,Cox Town,Chamarajpet,NA,NA,NA,NA,NA,NA,1310,NA,0,0,0
26-07-2024,5.17.00 PM,CNR7533317866,Canceled by Customer,CID867762,Mini,Shantinagar,Hulimavu,NA,NA,AC is Not working,NA,NA,NA,771,NA,0,0,0
01-07-2024,2.55.00 AM,CNR5758479139,Success,CID805528,Prime Sedan,RT Nagar,Chickpet,42,25,NA,NA,No,NA,279,Cash,43,4.3,3.4
22-07-2024,4.24.00 PM,CNR8021985469,Success,CID604351,Mini,Hosur Road,Kadugodi,308,145,NA,NA,No,NA,321,Cash,39,3.3,4.7
21-07-2024,7.56.00 PM,CNR3800597072,Success,CID386103,Mini,JP Nagar,Chickpet,189,35,NA,NA,No,NA,457,Cash,1,4.1,3.4
05-07-2024,1.55.00 PM,CNR6179425512,Success,CID607886,Mini,Bannerghatta Road,Basavanagudi,217,45,NA,NA,No,NA,139,Cash,45,4.9,3.8
29-07-2024,7.40.00 PM,CNR7924302885,Success,CID517661,Auto,Magadi Road,Nagarbhavi,168,140,NA,NA,Yes,Customer Demand,685,UPI,7,4.1,4.9
15-07-2024,9.19.00 PM,CNR7181374756,Canceled by Driver,CID700952,Auto,Devanahalli,Kammanahalli,NA,NA,NA,More than permitted people in there,NA,NA,150,NA,0,0,0
16-07-2024,1.15.00 PM,CNR2830899440,Success,CID808607,Mini,Kadugodi,Frazer Town,133,90,NA,NA,No,NA,196,UPI,21,4.3,3.4
14-07-2024,11.37.00 AM,CNR7592165192,Canceled by Driver,CID863704,Prime SUV,Rajarajeshwari Nagar,HSR Layout,NA,NA,NA,Personal & Car related issue,NA,NA,424,NA,0,0,0
11-07-2024,9.40.00 PM,CNR6077524333,Canceled by Driver,CID708519,Prime SUV,Chickpet,Shantinagar,NA,NA,NA,More than permitted people in there,NA,NA,827,NA,0,0,0
14-07-2024,4.15.00 AM,CNR8854206454,Success,CID932765,eBike,Langford Town,Kadugodi,301,115,NA,NA,No,NA,770,Cash,27,3.3,4.3
17-07-2024,7.30.00 AM,CNR6387231274,Driver Not Found,CID686160,Prime Sedan,Bannerghatta Road,Indiranagar,NA,NA,NA,NA,NA,NA,325,NA,0,0,0
04-07-2024,2.43.00 PM,CNR6215530366,Success,CID713821,eBike,Devanahalli,Jayanagar,161,25,NA,NA,No,NA,986,Cash,18,4.6,4.8
29-07-2024,2.56.00 PM,CNR4314026109,Success,CID259573,Prime SUV,Tumkur Road,Bannerghatta Road,266,115,NA,NA,No,NA,2208,Cash,40,4,4.5
17-07-2024,7.55.00 PM,CNR9027465661,Success,CID737388,Prime Sedan,BTM Layout,Majestic,168,30,NA,NA,No,NA,1695,UPI,20,4.5,4.7
20-07-2024,10.58.00 AM,CNR5003494701,Canceled by Driver,CID761134,Mini,Sarjapur Road,Majestic,NA,NA,NA,Customer related issue,NA,NA,305,NA,0,0,0
08-07-2024,9.18.00 AM,CNR2064658821,Success,CID954441,Bike,Peenya,Devanahalli,63,105,NA,NA,No,NA,2271,Cash,37,3.4,4.2
07-07-2024,1.31.00 AM,CNR2149029235,Success,CID596869,Auto,Chickpet,Hennur,154,135,NA,NA,No,NA,240,UPI,4,4,4.9
30-07-2024,1.20.00 AM,CNR9704400677,Success,CID974657,Mini,Langford Town,Vijayanagar,287,95,NA,NA,No,NA,482,Cash,37,4.4,3.9
03-07-2024,11.25.00 AM,CNR8836460204,Success,CID716037,eBike,Bellandur,Shantinagar,252,45,NA,NA,No,NA,536,UPI,17,3.9,4.4
11-07-2024,10.44.00 AM,CNR3697318609,Success,CID915228,Bike,Sarjapur Road,Chickpet,287,100,NA,NA,No,NA,188,UPI,37,4.9,4.1
22-07-2024,6.17.00 PM,CNR6541289543,Canceled by Driver,CID656539,Prime SUV,Frazer Town,Whitefield,NA,NA,NA,Customer related issue,NA,NA,202,NA,0,0,0
21-07-2024,6.54.00 AM,CNR8369601219,Canceled by Driver,CID581505,Prime SUV,Richmond Town,Jayanagar,NA,NA,NA,Customer related issue,NA,NA,1609,NA,0,0,0
22-07-2024,12.21.00 AM,CNR8346388703,Canceled by Driver,CID680143,Mini,Magadi Road,BTM Layout,NA,NA,NA,Personal & Car related issue,NA,NA,1821,NA,0,0,0
26-07-2024,9.39.00 AM,CNR4445082348,Success,CID336831,Mini,Yelahanka,BTM Layout,42,40,NA,NA,No,NA,415,UPI,22,3.6,3.1
26-07-2024,6.06.00 AM,CNR5528764313,Success,CID808205,Prime SUV,Ramamurthy Nagar,Bannerghatta Road,308,145,NA,NA,No,NA,2125,UPI,6,3.8,4.6
03-07-2024,3.04.00 PM,CNR3967141568,Canceled by Driver,CID163765,Auto,Padmanabhanagar,Ramamurthy Nagar,NA,NA,NA,Customer related issue,NA,NA,758,NA,0,0,0
07-07-2024,9.55.00 AM,CNR7054352438,Driver Not Found,CID270321,Mini,Hennur,Cox Town,NA,NA,NA,NA,NA,NA,653,NA,0,0,0
22-07-2024,12.51.00 PM,CNR1640228587,Success,CID190281,Prime Sedan,Kengeri,Mysore Road,168,135,NA,NA,Yes,Other Issue,704,Cash,42,4.7,4.8
19-07-2024,4.48.00 AM,CNR6684033796,Success,CID352268,Auto,Indiranagar,Whitefield,84,105,NA,NA,No,NA,385,Cash,19,4.1,3.7
01-07-2024,5.03.00 AM,CNR4158584922,Success,CID772392,Auto,Sahakar Nagar,Ramamurthy Nagar,35,45,NA,NA,No,NA,934,UPI,12,3.3,5
23-07-2024,4.01.00 AM,CNR5133236273,Canceled by Driver,CID905849,Prime Plus,Banashankari,Chickpet,NA,NA,NA,Customer related issue,NA,NA,615,NA,0,0,0
26-07-2024,8.22.00 AM,CNR5661490576,Success,CID546076,Bike,Magadi Road,Electronic City,56,30,NA,NA,No,NA,2202,Cash,44,4.7,3.4
05-07-2024,12.36.00 PM,CNR2304446757,Success,CID432144,eBike,Rajarajeshwari Nagar,MG Road,252,145,NA,NA,No,NA,205,Cash,43,4.1,3.1
18-07-2024,7.21.00 AM,CNR3780555542,Canceled by Customer,CID803813,Mini,Tumkur Road,Chamarajpet,NA,NA,Driver asked to cancel,NA,NA,NA,513,NA,0,0,0
21-07-2024,8.21.00 AM,CNR1559782157,Success,CID906966,Auto,Ulsoor,Bellandur,182,50,NA,NA,No,NA,247,Cash,8,3.1,3.3
13-07-2024,2.55.00 AM,CNR7623690602,Success,CID526261,Bike,Cox Town,Malleshwaram,259,75,NA,NA,Yes,Other Issue,558,UPI,41,3.2,3.2
08-07-2024,7.56.00 AM,CNR2098165198,Success,CID619972,Prime Sedan,Yelahanka,Ramamurthy Nagar,217,55,NA,NA,No,NA,291,UPI,5,3.8,3.3
22-07-2024,4.32.00 AM,CNR5502012579,Success,CID748475,Mini,Vijayanagar,Kengeri,56,110,NA,NA,No,NA,925,Cash,22,3,4
24-07-2024,9.58.00 PM,CNR4698965967,Success,CID529347,Prime Sedan,Ramamurthy Nagar,Chickpet,280,30,NA,NA,No,NA,121,Cash,44,3.8,4.5
21-07-2024,3.13.00 AM,CNR8566688320,Driver Not Found,CID175878,Bike,Chickpet,Shivajinagar,NA,NA,NA,NA,NA,NA,404,NA,0,0,0
29-07-2024,12.44.00 PM,CNR8014852782,Canceled by Customer,CID737119,Prime Plus,Kammanahalli,Magadi Road,NA,NA,Change of plans,NA,NA,NA,223,NA,0,0,0
15-07-2024,8.31.00 AM,CNR6012739836,Driver Not Found,CID308763,Prime Sedan,Ramamurthy Nagar,Magadi Road,NA,NA,NA,NA,NA,NA,2989,NA,0,0,0
01-07-2024,11.01.00 AM,CNR3404012927,Success,CID344186,Mini,Chickpet,Chamarajpet,63,130,NA,NA,No,NA,728,Cash,14,4.3,5
11-07-2024,10.50.00 AM,CNR9282027845,Success,CID767941,Bike,Yeshwanthpur,KR Puram,210,85,NA,NA,No,NA,2416,UPI,49,3.1,3.8
30-07-2024,10.02.00 AM,CNR5508853708,Canceled by Customer,CID812594,Prime Plus,Shivajinagar,HSR Layout,NA,NA,Driver is not moving towards pickup location,NA,NA,NA,371,NA,0,0,0
07-07-2024,6.36.00 PM,CNR4241139229,Success,CID133723,Prime Plus,Kammanahalli,Shivajinagar,203,25,NA,NA,No,NA,258,Cash,32,4.7,4.1
27-07-2024,11.48.00 PM,CNR8306274838,Driver Not Found,CID117206,Bike,Bellandur,Rajarajeshwari Nagar,NA,NA,NA,NA,NA,NA,170,NA,0,0,0
16-07-2024,3.25.00 PM,CNR1903850514,Canceled by Customer,CID126419,eBike,Mysore Road,Vijayanagar,NA,NA,Driver asked to cancel,NA,NA,NA,151,NA,0,0,0
26-07-2024,9.02.00 PM,CNR1852948877,Canceled by Driver,CID953990,Prime Sedan,Yelahanka,Majestic,NA,NA,NA,Customer related issue,NA,NA,425,NA,0,0,0
04-07-2024,3.31.00 AM,CNR5744401218,Success,CID507511,Bike,Yelahanka,Varthur,91,25,NA,NA,No,NA,220,UPI,2,3.4,3.1
16-07-2024,10.15.00 AM,CNR7221640450,Success,CID195611,Prime Sedan,RT Nagar,Whitefield,301,145,NA,NA,No,NA,472,UPI,16,3.3,4.5
20-07-2024,10.27.00 PM,CNR8395803905,Canceled by Driver,CID925776,eBike,Bannerghatta Road,RT Nagar,NA,NA,NA,Customer related issue,NA,NA,616,NA,0,0,0
15-07-2024,9.20.00 AM,CNR3750351374,Success,CID524066,Prime SUV,Mysore Road,Peenya,42,130,NA,NA,No,NA,473,Cash,49,4,4.2
04-07-2024,6.13.00 PM,CNR2869164142,Success,CID884352,Prime SUV,BTM Layout,Malleshwaram,126,115,NA,NA,No,NA,259,Cash,11,4.8,4.5
27-07-2024,11.58.00 AM,CNR8303547069,Success,CID471469,Mini,Langford Town,Richmond Town,77,35,NA,NA,No,NA,310,Credit Card,2,3.3,3.1
09-07-2024,9.32.00 PM,CNR7368110421,Canceled by Driver,CID372218,Mini,Peenya,Sarjapur Road,NA,NA,NA,Personal & Car related issue,NA,NA,200,NA,0,0,0
30-07-2024,10.14.00 AM,CNR7500310853,Success,CID377809,Prime Sedan,Jayanagar,Richmond Town,189,85,NA,NA,No,NA,471,UPI,39,3.5,3.7
13-07-2024,9.23.00 PM,CNR8925319975,Success,CID388701,Prime Sedan,Yelahanka,Rajajinagar,287,125,NA,NA,No,NA,442,UPI,37,4.1,4.5
29-07-2024,7.56.00 PM,CNR9261561390,Success,CID853883,Auto,Koramangala,Majestic,175,65,NA,NA,No,NA,228,Cash,10,3.7,4.3
24-07-2024,9.25.00 AM,CNR3165383119,Canceled by Driver,CID765484,Prime SUV,Devanahalli,KR Puram,NA,NA,NA,Customer was coughing/sick,NA,NA,232,NA,0,0,0
29-07-2024,11.15.00 PM,CNR7006798592,Driver Not Found,CID786658,Prime Sedan,Ulsoor,RT Nagar,NA,NA,NA,NA,NA,NA,344,NA,0,0,0
08-07-2024,7.52.00 AM,CNR5613886410,Success,CID107686,Auto,Marathahalli,KR Puram,266,65,NA,NA,No,NA,2604,UPI,10,3.8,4.1
16-07-2024,4.52.00 AM,CNR5841521780,Success,CID768996,Prime SUV,Ramamurthy Nagar,Varthur,210,120,NA,NA,No,NA,274,Cash,37,3.1,3.6
09-07-2024,1.07.00 PM,CNR1281921513,Canceled by Customer,CID163474,Mini,Malleshwaram,Magadi Road,NA,NA,Driver is not moving towards pickup location,NA,NA,NA,895,NA,0,0,0
26-07-2024,4.05.00 PM,CNR2959980296,Success,CID509309,Bike,Hosur Road,Richmond Town,91,60,NA,NA,No,NA,279,Cash,34,4.5,3.2
26-07-2024,11.32.00 PM,CNR6765124275,Success,CID630281,Prime Sedan,Chamarajpet,Banashankari,294,45,NA,NA,No,NA,1946,Cash,16,3,3.5
05-07-2024,4.23.00 AM,CNR9762994658,Success,CID443169,Prime Plus,RT Nagar,Sahakar Nagar,231,65,NA,NA,No,NA,1024,UPI,4,4.8,4.1
23-07-2024,10.25.00 AM,CNR8072285783,Canceled by Customer,CID652081,Prime Plus,Frazer Town,Sarjapur Road,NA,NA,Driver asked to cancel,NA,NA,NA,294,NA,0,0,0
23-07-2024,7.44.00 PM,CNR8116331340,Success,CID777382,Auto,RT Nagar,Sarjapur Road,266,55,NA,NA,No,NA,252,UPI,8,4,4.8
28-07-2024,10.29.00 AM,CNR3491700602,Success,CID247449,Mini,Richmond Town,Langford Town,84,145,NA,NA,No,NA,2542,UPI,2,3.5,4.1
19-07-2024,3.04.00 PM,CNR2166456022,Success,CID930312,Mini,Yeshwanthpur,Indiranagar,266,75,NA,NA,No,NA,1821,Cash,34,4.4,4.7
12-07-2024,8.33.00 AM,CNR2177201692,Success,CID614111,Mini,Richmond Town,Yeshwanthpur,105,145,NA,NA,No,NA,200,Cash,31,4.9,4
16-07-2024,10.22.00 AM,CNR5755482161,Canceled by Driver,CID126097,Prime SUV,Koramangala,Indiranagar,NA,NA,NA,Customer was coughing/sick,NA,NA,152,NA,0,0,0
25-07-2024,11.15.00 AM,CNR4484571820,Success,CID645793,Auto,HSR Layout,Hosur Road,133,145,NA,NA,No,NA,2388,Cash,4,4.4,3.6
28-07-2024,6.34.00 AM,CNR7377461832,Success,CID719814,eBike,Ulsoor,Padmanabhanagar,77,100,NA,NA,No,NA,783,Cash,37,3.5,3.5
03-07-2024,8.56.00 PM,CNR2363111317,Driver Not Found,CID665310,Prime Plus,Electronic City,KR Puram,NA,NA,NA,NA,NA,NA,208,NA,0,0,0
17-07-2024,7.28.00 AM,CNR2976802436,Success,CID592039,Prime SUV,Tumkur Road,Cox Town,168,50,NA,NA,No,NA,1181,UPI,10,3.4,4.9
01-07-2024,3.29.00 AM,CNR8474873609,Canceled by Customer,CID968838,Prime Plus,HSR Layout,KR Puram,NA,NA,Change of plans,NA,NA,NA,843,NA,0,0,0
20-07-2024,1.53.00 PM,CNR1945536909,Success,CID796614,Auto,Sahakar Nagar,JP Nagar,224,80,NA,NA,No,NA,441,Cash,7,3,3.1
10-07-2024,2.02.00 AM,CNR8097291227,Success,CID734844,Prime Plus,Mysore Road,Rajajinagar,238,25,NA,NA,No,NA,332,UPI,38,3.8,3.4
12-07-2024,4.22.00 PM,CNR1433815646,Success,CID307267,Prime SUV,Banashankari,Marathahalli,42,65,NA,NA,No,NA,832,Cash,11,3.4,4.1
15-07-2024,6.58.00 AM,CNR5876056264,Success,CID568720,Prime SUV,Kadugodi,Shantinagar,231,30,NA,NA,No,NA,1361,UPI,47,4,3.9
04-07-2024,9.47.00 PM,CNR2943788515,Canceled by Driver,CID627311,Bike,Shantinagar,Ramamurthy Nagar,NA,NA,NA,More than permitted people in there,NA,NA,415,NA,0,0,0
28-07-2024,7.06.00 AM,CNR5599931622,Success,CID822709,Prime SUV,Peenya,Frazer Town,42,55,NA,NA,No,NA,747,Cash,28,3.8,3
02-07-2024,1.54.00 AM,CNR6776927575,Success,CID817693,Bike,Hosur Road,Nagarbhavi,245,55,NA,NA,No,NA,129,Cash,5,4.4,4.2
10-07-2024,6.38.00 PM,CNR4880622143,Success,CID602848,eBike,Rajajinagar,Kammanahalli,98,100,NA,NA,No,NA,296,UPI,34,3.3,4.2
27-07-2024,3.13.00 AM,CNR2841702950,Success,CID268274,Auto,Sarjapur Road,Sarjapur Road,231,105,NA,NA,No,NA,337,UPI,18,4.5,4.2
09-07-2024,2.52.00 PM,CNR2747846957,Success,CID700413,Prime Sedan,Majestic,Malleshwaram,308,140,NA,NA,No,NA,896,UPI,45,4,4.1
05-07-2024,9.33.00 AM,CNR4795488474,Success,CID943263,Prime Sedan,Peenya,Frazer Town,189,60,NA,NA,No,NA,151,Credit Card,11,4,4.8
06-07-2024,10.00.00 AM,CNR6662649739,Success,CID295666,Auto,Ramamurthy Nagar,Banashankari,189,35,NA,NA,No,NA,940,Debit Card,7,3.2,3.5
10-07-2024,9.28.00 AM,CNR2524442918,Success,CID471692,Prime Plus,Hulimavu,RT Nagar,98,140,NA,NA,No,NA,729,Credit Card,13,4.5,5
01-07-2024,10.12.00 AM,CNR4977956798,Success,CID782900,Auto,Banashankari,Sarjapur Road,189,45,NA,NA,No,NA,128,Cash,1,4.6,4.8
26-07-2024,3.07.00 PM,CNR2002215420,Success,CID109502,Prime SUV,Whitefield,BTM Layout,77,75,NA,NA,No,NA,274,Cash,42,4,3.4
